topo,seed,flowNum,cc,randOffset,slots,multiFactor,state,maxFctNs,avgFctNs,makespanNs,dropPkts,linkUtil
fat,115,160,t,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,116,176,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,100,1,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,1000,1,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,116,176,t,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,117,192,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,100,1,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,1000,1,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,117,192,t,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,118,208,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,118,208,t,1,100,0.5,-1,-1,-1,-1,-1,-1
