state,topo,seed,flowNum,cc,randOffset,slots,multiFactor,maxFctNs,avgFctNs,makespanNs,dropPkts,linkUtil,runtimeS
-1,fat,111,128,hp,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,112,128,dctcp,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,113,128,timely,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,114,128,hpccPint,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,115,144,dcqcn,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,116,144,hp,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,117,144,dctcp,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,117,144,dctcp,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,117,144,dctcp,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,117,144,dctcp,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,117,144,dctcp,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,117,144,dctcp,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
